"incident_id","date","country","customer_type","tracking_number","carrier","category","description","status","customer_email","satisfaction_score"
"TRF-000030","2026-08-30","US","B2B","TRK0000030","DHL_US","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user30@example.com","1"
"TRF-000031","2026-08-01","US","B2C","TRK0000031","UPS","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user31@example.com","1"
"TRF-000032","2026-08-02","US","B2B","TRK0000032","FEDEX","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user32@example.com","1"
"TRF-000033","2026-08-03","US","B2C","TRK0000033","DHL_US","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user33@example.com","1"
"TRF-000034","2026-08-04","US","B2B","TRK0000034","UPS","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user34@example.com","1"
"TRF-000035","2026-08-05","US","B2C","TRK0000035","FEDEX","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user35@example.com","1"
"TRF-000036","2026-08-06","US","B2B","TRK0000036","DHL_US","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user36@example.com","2"
"TRF-000037","2026-08-07","US","B2C","TRK0000037","UPS","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user37@example.com","2"
"TRF-000038","2026-08-08","US","B2B","TRK0000038","FEDEX","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user38@example.com","2"
"TRF-000039","2026-08-09","US","B2C","TRK0000039","DHL_US","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user39@example.com","2"
"TRF-000040","2026-08-10","US","B2B","TRK0000040","UPS","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user40@example.com","2"
"TRF-000041","2026-08-11","US","B2C","TRK0000041","FEDEX","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user41@example.com","2"
"TRF-000042","2026-08-12","US","B2B","TRK0000042","DHL_US","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user42@example.com","2"
"TRF-000043","2026-08-13","US","B2C","TRK0000043","UPS","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user43@example.com","2"
"TRF-000044","2026-08-14","US","B2B","TRK0000044","FEDEX","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user44@example.com","2"
"TRF-000045","2026-08-15","US","B2C","TRK0000045","DHL_US","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user45@example.com","2"
"TRF-000046","2026-08-16","US","B2B","TRK0000046","UPS","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user46@example.com","2"
"TRF-000047","2026-08-17","US","B2C","TRK0000047","FEDEX","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user47@example.com","3"
"TRF-000048","2026-08-18","US","B2B","TRK0000048","DHL_US","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user48@example.com","3"
"TRF-000049","2026-08-19","US","B2C","TRK0000049","UPS","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user49@example.com","3"
"TRF-000050","2026-08-20","US","B2B","TRK0000050","FEDEX","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user50@example.com","3"
"TRF-000051","2026-08-21","ES","B2C","TRK0000051","DHL_ES","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user51@example.com","3"
"TRF-000052","2026-08-22","ES","B2B","TRK0000052","LOCAL_ES","DELAYED_DELIVERY","Incident reported by operations","CLOSED","user52@example.com","3"
"TRF-000053","2026-08-23","ES","B2C","TRK0000053","MRW","WRONG_ADDRESS","Incident reported by operations","CLOSED","user53@example.com","3"
"TRF-000054","2026-08-24","ES","B2B","TRK0000054","SEUR","WRONG_ADDRESS","Incident reported by operations","CLOSED","user54@example.com","3"
"TRF-000055","2026-08-25","ES","B2C","TRK0000055","DHL_ES","WRONG_ADDRESS","Incident reported by operations","CLOSED","user55@example.com","3"
"TRF-000056","2026-08-26","ES","B2B","TRK0000056","LOCAL_ES","WRONG_ADDRESS","Incident reported by operations","CLOSED","user56@example.com","3"
"TRF-000057","2026-08-27","ES","B2C","TRK0000057","MRW","WRONG_ADDRESS","Incident reported by operations","CLOSED","user57@example.com","3"
"TRF-000058","2026-08-28","ES","B2B","TRK0000058","SEUR","WRONG_ADDRESS","Incident reported by operations","CLOSED","user58@example.com","3"
"TRF-000059","2026-08-29","ES","B2C","TRK0000059","DHL_ES","WRONG_ADDRESS","Incident reported by operations","CLOSED","user59@example.com","3"
"TRF-000060","2026-08-30","ES","B2B","TRK0000060","LOCAL_ES","WRONG_ADDRESS","Incident reported by operations","CLOSED","user60@example.com","3"
"TRF-000061","2026-08-01","ES","B2C","TRK0000061","MRW","WRONG_ADDRESS","Incident reported by operations","CLOSED","user61@example.com","3"
"TRF-000062","2026-08-02","ES","B2B","TRK0000062","SEUR","WRONG_ADDRESS","Incident reported by operations","CLOSED","user62@example.com","4"
"TRF-000063","2026-08-03","ES","B2C","TRK0000063","DHL_ES","WRONG_ADDRESS","Incident reported by operations","CLOSED","user63@example.com","4"
"TRF-000064","2026-08-04","ES","B2B","TRK0000064","LOCAL_ES","WRONG_ADDRESS","Incident reported by operations","CLOSED","user64@example.com","4"
"TRF-000065","2026-08-05","ES","B2C","TRK0000065","MRW","WRONG_ADDRESS","Incident reported by operations","CLOSED","user65@example.com","4"
"TRF-000066","2026-08-06","ES","B2B","TRK0000066","SEUR","WRONG_ADDRESS","Incident reported by operations","CLOSED","user66@example.com","4"
"TRF-000067","2026-08-07","ES","B2C","TRK0000067","DHL_ES","WRONG_ADDRESS","Incident reported by operations","CLOSED","user67@example.com","4"
"TRF-000068","2026-08-08","ES","B2B","TRK0000068","LOCAL_ES","WRONG_ADDRESS","Incident reported by operations","CLOSED","user68@example.com","4"
"TRF-000069","2026-08-09","ES","B2C","TRK0000069","MRW","WRONG_ADDRESS","Incident reported by operations","CLOSED","user69@example.com","4"
"TRF-000070","2026-08-10","ES","B2B","TRK0000070","SEUR","WRONG_ADDRESS","Incident reported by operations","CLOSED","user70@example.com","4"
"TRF-000071","2026-08-11","ES","B2C","TRK0000071","DHL_ES","WRONG_ADDRESS","Incident reported by operations","CLOSED","user71@example.com","4"
"TRF-000072","2026-08-12","ES","B2B","TRK0000072","LOCAL_ES","RETURN_REQUEST","Incident reported by operations","CLOSED","user72@example.com","4"
"TRF-000073","2026-08-13","ES","B2C","TRK0000073","MRW","RETURN_REQUEST","Incident reported by operations","CLOSED","user73@example.com","4"
"TRF-000074","2026-08-14","ES","B2B","TRK0000074","SEUR","RETURN_REQUEST","Incident reported by operations","CLOSED","user74@example.com","4"
"TRF-000075","2026-08-15","ES","B2C","TRK0000075","DHL_ES","RETURN_REQUEST","Incident reported by operations","CLOSED","user75@example.com","4"
"TRF-000076","2026-08-16","ES","B2B","TRK0000076","LOCAL_ES","RETURN_REQUEST","Incident reported by operations","CLOSED","user76@example.com","5"
"TRF-000077","2026-08-17","ES","B2C","TRK0000077","MRW","RETURN_REQUEST","Incident reported by operations","CLOSED","user77@example.com","5"
"TRF-000078","2026-08-18","ES","B2B","TRK0000078","SEUR","RETURN_REQUEST","Incident reported by operations","CLOSED","user78@example.com","5"
"TRF-000079","2026-08-19","ES","B2C","TRK0000079","DHL_ES","RETURN_REQUEST","Incident reported by operations","CLOSED","user79@example.com","5"
"TRF-000080","2026-08-20","ES","B2B","TRK0000080","LOCAL_ES","RETURN_REQUEST","Incident reported by operations","CLOSED","user80@example.com","5"
"TRF-000081","2026-08-21","ES","B2C","TRK0000081","MRW","RETURN_REQUEST","Incident reported by operations","CLOSED","user81@example.com","5"
"TRF-000082","2026-08-22","ES","B2B","TRK0000082","SEUR","RETURN_REQUEST","Incident reported by operations","DISCARDED","user82@example.com",""
"TRF-000083","2026-08-23","ES","B2C","TRK0000083","DHL_ES","RETURN_REQUEST","Incident reported by operations","DISCARDED","user83@example.com",""
"TRF-000084","2026-08-24","ES","B2B","TRK0000084","LOCAL_ES","RETURN_REQUEST","Incident reported by operations","DISCARDED","user84@example.com",""
"TRF-000085","2026-08-25","ES","B2C","TRK0000085","MRW","RETURN_REQUEST","Incident reported by operations","DISCARDED","user85@example.com",""
"TRF-000086","2026-08-26","ES","B2B","TRK0000086","SEUR","RETURN_REQUEST","Incident reported by operations","DISCARDED","user86@example.com",""
"TRF-000087","2026-08-27","ES","B2C","TRK0000087","DHL_ES","RETURN_REQUEST","Incident reported by operations","DISCARDED","user87@example.com",""
"TRF-000088","2026-08-28","ES","B2B","TRK0000088","LOCAL_ES","RETURN_REQUEST","Incident reported by operations","DISCARDED","user88@example.com",""
"TRF-000089","2026-08-29","ES","B2C","TRK0000089","MRW","DAMAGE","Incident reported by operations","DISCARDED","user89@example.com",""
"TRF-000090","2026-08-30","ES","B2B","TRK0000090","SEUR","DAMAGE","Incident reported by operations","DISCARDED","user90@example.com",""
"TRF-000091","2026-08-01","ES","B2C","TRK0000091","DHL_ES","DAMAGE","Incident reported by operations","DISCARDED","user91@example.com",""
"TRF-000092","2026-08-02","ES","B2B","TRK0000092","LOCAL_ES","DAMAGE","Incident reported by operations","DISCARDED","user92@example.com",""
"TRF-000093","2026-08-03","ES","B2C","TRK0000093","MRW","DAMAGE","Incident reported by operations","DISCARDED","user93@example.com",""
"TRF-000094","2026-08-04","ES","B2B","TRK0000094","SEUR","DAMAGE","Incident reported by operations","DISCARDED","user94@example.com",""
"TRF-000095","2026-08-05","ES","B2C","TRK0000095","DHL_ES","DAMAGE","Incident reported by operations","DISCARDED","user95@example.com",""
"TRF-000096","2026-08-16","US","B2C","123","UPS","DELAYED_DELIVERY","Delay reported by client","OPEN","user96@example.com",""
"TRF-000097","2026-08-17","US","B2B","TRK0000097","MRW","WRONG_ADDRESS","Wrong carrier assigned","OPEN","user97@example.com",""
"TRF-000098","2026-08-18","ES","B2C","TRK0000098","SEUR","UNKNOWN_CATEGORY","Category mismatch in legacy tool","OPEN","user98@example.com",""
"TRF-000099","2026-08-19","ES","B2B","TRK0000099","MRW","RETURN_REQUEST","Email missing in source export","DISCARDED","user99.example.com",""
"TRF-000100","2026-08-20","US","B2C","TRK0000100","UPS","LOST_PARCEL","Closed issue with missing score","CLOSED","user100@example.com",""
